Batter,Runs,Matches,Deliveries,Strike_Rate,Avg_Per_Match
MN Samuels,161,14,174,92.53,11.5
R McLaren,159,13,178,89.33,12.23
RE van der Merwe,159,15,144,110.42,10.6
D Wiese,148,11,105,140.95,13.45
AD Hales,148,6,119,124.37,24.67
SM Pollock,147,8,116,126.72,18.38
S Vidyut,145,8,115,126.09,18.12
Sachin Baby,144,11,123,117.07,13.09
Naman Dhir,140,7,84,166.67,20.0
N Saini,140,10,143,97.9,14.0
Anmolpreet Singh,139,9,117,118.8,15.44
S Anirudha,136,12,121,112.4,11.33
SB Styris,131,10,134,97.76,13.1
W Jaffer,130,8,129,100.78,16.25
RD Chahar,129,22,127,101.57,5.86
Kamran Akmal,128,6,78,164.1,21.33
P Dogra,127,12,141,90.07,10.58
UT Khawaja,127,6,105,120.95,21.17
TK Curran,127,10,108,117.59,12.7
M Morkel,126,20,93,135.48,6.3
SS Prabhudessai,126,10,113,111.5,12.6
MC Juneja,125,7,134,93.28,17.86
BB Samantray,125,8,116,107.76,15.62
MM Sharma,124,28,137,90.51,4.43
B Lee,124,19,102,121.57,6.53
Harpreet Singh,123,8,119,103.36,15.38
AB McDonald,123,9,103,119.42,13.67
DL Vettori,121,16,118,102.54,7.56
NK Patel,121,6,124,97.58,20.17
TG Southee,120,19,108,111.11,6.32
AC Blizzard,120,7,91,131.87,17.14
RJ Harris,117,21,112,104.46,5.57
Z Khan,117,27,141,82.98,4.33
Misbah-ul-Haq,117,8,82,142.68,14.62
MW Short,117,6,99,118.18,19.5
KK Cooper,116,12,70,165.71,9.67
Aman Hakim Khan,115,10,109,105.5,11.5
R Shepherd,115,9,68,169.12,12.78
DJM Short,115,7,102,112.75,16.43
M Kartik,113,14,109,103.67,8.07
DJ Harris,111,4,103,107.77,27.75
Mohammed Siraj,109,20,122,89.34,5.45
JDP Oram,106,11,110,96.36,9.64
LJ Wright,106,5,63,168.25,21.2
SE Rutherford,106,9,107,99.07,11.78
MA Starc,105,16,109,96.33,6.56
DS Kulkarni,104,20,113,92.04,5.2
RJ Quiney,103,7,105,98.1,14.71
SD Chitnis,99,8,92,107.61,12.38
MS Gony,99,15,76,130.26,6.6
CJ Ferguson,98,8,119,82.35,12.25
MJ Clarke,98,6,96,102.08,16.33
PN Mankad,97,5,75,129.33,19.4
Arshad Khan,96,6,67,143.28,16.0
DJ Jacobs,92,7,101,91.09,13.14
JDS Neesham,92,10,93,98.92,9.2
PR Shah,92,9,97,94.85,10.22
RT Ponting,91,9,129,70.54,10.11
AJ Tye,91,13,79,115.19,7.0
S Rana,91,8,82,110.98,11.38
AD Nath,90,10,99,90.91,9.0
SL Malinga,88,20,103,85.44,4.4
Iqbal Abdulla,88,13,86,102.33,6.77
Ankit Sharma,87,10,69,126.09,8.7
AP Majumdar,87,4,77,112.99,21.75
MJ McClenaghan,85,20,73,116.44,4.25
RE Levi,83,6,74,112.16,13.83
TA Boult,83,22,82,101.22,3.77
NM Coulter-Nile,82,16,75,109.33,5.12
CJ Jordan,81,12,81,100.0,6.75
WPUJC Vaas,81,11,73,110.96,7.36
Shahid Afridi,81,9,46,176.09,9.0
LA Carseldine,81,5,71,114.08,16.2
DL Chahar,80,12,61,131.15,6.67
RV Patel,80,7,76,105.26,11.43
AD Mascarenhas,79,11,79,100.0,7.18
JR Philippe,78,5,80,97.5,15.6
CR Woakes,78,12,77,101.3,6.5
IR Jaggi,76,7,100,76.0,10.86
B Akhil,76,11,57,133.33,6.91
TR Birt,75,5,59,127.12,15.0
Mohammed Shami,74,23,82,90.24,3.22
RR Sarwan,73,4,78,93.59,18.25
M Klinger,73,4,78,93.59,18.25
PWH de Silva,72,14,80,90.0,5.14
J Suchith,70,9,62,112.9,7.78
MJ Santner,70,11,77,90.91,6.36
AA Bilakhia,69,7,88,78.41,9.86
Vivrant Sharma,69,1,49,140.82,69.0
JJ Bumrah,68,26,80,85.0,2.62
LH Ferguson,68,7,48,141.67,9.71
RR Powar,67,9,64,104.69,7.44
M Jansen,66,12,71,92.96,5.5
R Sharma,66,19,77,85.71,3.47
HR Shokeen,66,5,67,98.51,13.2
WD Parnell,65,13,86,75.58,5.0
KA Jamieson,65,7,55,118.18,9.29
GD Phillips,65,8,55,118.18,8.12
Mohammad Hafeez,64,8,84,76.19,8.0
Anirudh Singh,63,4,69,91.3,15.75
A Flintoff,62,3,57,108.77,20.67
SP Jackson,61,8,57,107.02,7.62
S Aravind,59,10,59,100.0,5.9
