Bowler,Wickets,Runs_Given,Deliveries,Economy,Matches
AS Joseph,22,707,454,9.34,22
Akash Madhwal,22,431,279,9.27,13
VY Mahesh,22,511,359,8.54,17
Bipul Sharma,22,581,436,8.0,28
K Gowtham,22,825,599,8.26,35
WPUJC Vaas,22,364,288,7.58,13
M Jansen,22,732,487,9.02,21
JP Behrendorff,22,563,379,8.91,17
RP Meredith,21,621,415,8.98,18
Shahbaz Ahmed,21,850,549,9.29,42
Anureet Singh,21,636,430,8.87,22
KW Richardson,21,479,345,8.33,15
J Suchith,20,604,434,8.35,21
VG Arora,20,598,418,8.58,20
C Sakariya,20,610,460,7.96,19
Mujeeb Ur Rahman,20,598,452,7.94,19
BB Sran,20,767,516,8.92,24
C Green,20,675,462,8.77,29
CRD Fernando,19,306,249,7.37,10
CH Gayle,19,755,584,7.76,38
A Ashish Reddy,19,400,270,8.89,20
IC Pandey,19,609,469,7.79,24
NT Ellis,19,514,365,8.45,16
AD Mascarenhas,19,365,310,7.06,13
BJ Hodge,18,310,238,7.82,20
LR Shukla,17,458,326,8.43,27
D Wiese,17,447,307,8.74,15
Vijaykumar Vyshak,17,396,243,9.78,11
R Rampaul,17,319,278,6.88,12
ST Jayasuriya,16,396,301,7.89,21
Mukesh Choudhary,16,452,298,9.1,14
Kartik Tyagi,16,720,458,9.43,20
MJ Santner,16,428,370,6.94,18
CR Brathwaite,16,384,266,8.66,16
VRV Singh,16,549,371,8.88,18
AC Thomas,16,416,327,7.63,15
RG Sharma,16,462,349,7.94,32
RR Powar,15,538,443,7.29,26
YA Abdulla,15,311,222,8.41,11
DR Sams,15,528,389,8.14,16
SJ Srivastava,15,444,306,8.71,14
AN Ahmed,15,515,362,8.54,17
Mohammad Nabi,15,527,419,7.55,23
S Lamichhane,14,297,211,8.45,9
GD McGrath,14,366,329,6.67,14
Kamran Khan,14,248,177,8.41,9
Umar Gul,14,198,153,7.76,6
Karanveer Singh,14,323,213,9.1,9
JR Hopes,14,562,369,9.14,20
R McLaren,14,558,372,9.0,18
DJG Sammy,14,354,244,8.7,19
KR Sen,14,396,255,9.32,12
CJ Anderson,14,525,315,10.0,22
AB McDonald,14,263,188,8.39,10
R Sai Kishore,13,259,191,8.14,10
CK Langeveldt,13,199,165,7.24,7
BA Bhatt,13,408,303,8.08,15
TK Curran,13,432,252,10.29,13
G Coetzee,13,357,216,9.92,10
SM Pollock,13,307,280,6.58,13
J Little,13,341,236,8.67,11
Joginder Sharma,13,421,272,9.29,15
JDP Oram,13,362,244,8.9,14
J Theron,13,311,235,7.94,10
RS Bopara,13,301,213,8.48,14
V Pratap Singh,12,300,211,8.53,9
BCJ Cutting,12,430,288,8.96,17
Ankit Sharma,12,453,375,7.25,21
SC Ganguly,12,370,280,7.93,20
V Shankar,12,344,258,8.0,22
AG Murtaza,12,322,269,7.18,12
JD Ryder,11,314,241,7.82,16
S Badree,11,329,263,7.51,12
TS Mills,11,349,218,9.61,10
Suyash Sharma,11,381,264,8.66,13
A Chandila,11,245,234,6.28,12
Abhishek Sharma,11,396,278,8.55,26
JL Pattinson,11,321,222,8.68,10
OC McCoy,11,255,180,8.5,8
BE Hendricks,11,239,157,9.13,7
Pankaj Singh,11,472,311,9.11,17
PVD Chameera,11,442,297,8.93,13
KP Appanna,11,291,222,7.86,13
Lalit Yadav,11,430,294,8.78,19
MA Wood,11,192,127,9.07,5
LS Livingstone,11,395,267,8.88,22
Simarjeet Singh,10,265,193,8.24,10
DJ Hussey,10,485,323,9.01,26
Anand Rajan,10,206,162,7.63,8
B Laughlin,10,284,179,9.52,9
DJ Hooda,10,535,384,8.36,33
J Syed Mohammad,10,286,196,8.76,11
MN Samuels,10,285,219,7.81,11
T Thushara,10,164,144,6.83,6
N Rana,10,253,185,8.21,24
K Kartikeya,10,334,241,8.32,12
KMA Paul,10,239,180,7.97,8
IS Sodhi,9,204,182,6.73,8
Shahid Afridi,9,237,185,7.69,10
